Time Elapsed (ms), Accel X (m/s^2), Accel Y (m/s^2), Accel Z (m/s^2), Mag X (uT), Mag Y (uT), Mag Z (uT), Gyro X (rad/s), Gyro Y (rad/s), Gyro Z (rad/s)

690,7.80,0.84,-5.39,102.31,-49.87,172.99,0.02,-0.04,0.00

730,7.78,0.43,-5.49,102.13,-51.39,173.43,0.03,-0.03,0.01

783,7.70,0.66,-5.33,102.28,-51.74,173.78,0.03,-0.04,0.00

844,7.67,0.43,-4.91,102.43,-50.63,174.07,0.03,-0.03,0.01

906,7.76,0.69,-5.19,102.40,-50.16,173.14,0.03,-0.04,0.01

967,7.80,0.42,-5.28,102.40,-50.80,173.87,0.03,-0.03,0.02

1029,7.93,0.67,-5.23,102.86,-51.86,174.01,0.04,-0.04,0.02

1091,8.06,0.79,-5.18,102.43,-50.60,172.67,0.03,-0.03,0.01

1154,7.93,1.00,-5.05,102.43,-51.39,173.63,0.02,-0.03,0.00

1216,7.98,0.66,-5.07,102.40,-50.75,173.17,0.02,-0.04,-0.01

1280,8.32,-0.00,-4.88,103.07,-51.56,173.46,0.01,-0.03,-0.01

1344,8.18,0.90,-5.09,102.51,-50.28,173.40,0.02,-0.04,-0.02

1408,8.24,0.58,-4.77,102.28,-51.13,173.93,0.02,-0.03,-0.03

1471,8.43,0.39,-4.26,103.19,-50.34,173.69,0.02,-0.04,-0.02

1535,8.34,0.36,-4.64,102.81,-50.95,173.11,0.02,-0.05,-0.02

1600,7.44,0.31,-4.44,103.27,-49.52,172.99,0.02,-0.07,-0.02

1662,7.96,-0.10,-3.01,103.33,-50.42,173.37,0.02,-0.08,-0.02

1726,8.01,0.20,-5.08,104.12,-49.23,173.05,0.04,-0.07,-0.02

1790,8.36,-0.85,-4.36,103.71,-50.39,173.55,0.02,-0.08,0.01

1853,9.23,0.46,-3.62,104.41,-49.61,172.73,0.02,-0.07,0.02

1915,9.07,-0.07,-4.40,104.09,-49.93,173.08,-0.02,-0.05,0.02

1980,9.00,-0.22,-4.54,104.33,-49.31,172.79,-0.02,-0.02,0.04

2044,9.19,-0.06,-4.17,104.06,-50.07,172.84,-0.04,-0.02,0.04

2109,8.99,0.48,-2.72,103.65,-49.90,173.11,-0.04,-0.02,0.02

2172,18.49,-8.66,-14.79,103.86,-49.93,173.63,-0.02,-0.04,0.00

2239,7.95,-0.38,-0.51,103.33,-48.32,173.22,0.00,-0.00,-0.02

2304,9.65,0.67,-2.95,103.27,-49.20,173.46,-0.03,-0.06,-0.03

2368,8.54,0.73,-2.75,103.60,-47.62,173.14,-0.04,-0.06,-0.11

